WUSTLID,wave,ECON2A,ECON2B,ECON1A,ECON1B,ECON4A,ECON4B
989872,46,NA,NA,NA,NA,NA,NA
989872,47,NA,NA,NA,NA,NA,NA
989872,48,NA,NA,NA,NA,NA,NA
989872,49,NA,NA,NA,NA,NA,NA
989872,50,NA,NA,NA,NA,NA,NA
989872,51,NA,NA,NA,NA,NA,NA
989872,52,NA,NA,NA,NA,NA,NA
989872,53,NA,NA,NA,NA,NA,NA
989872,54,NA,NA,NA,NA,NA,NA
989872,55,NA,NA,NA,NA,NA,NA
989872,56,NA,NA,NA,NA,NA,NA
989872,57,NA,NA,NA,NA,NA,NA
989872,58,NA,NA,NA,NA,NA,NA
989872,59,NA,NA,NA,NA,NA,NA
989872,60,NA,NA,NA,NA,NA,NA
989872,61,NA,NA,NA,NA,NA,NA
989872,62,NA,NA,NA,NA,NA,NA
989872,64,NA,NA,NA,NA,NA,NA
989872,66,NA,NA,NA,NA,NA,NA
989872,68,NA,NA,NA,NA,NA,NA
989872,69,NA,NA,NA,NA,NA,NA
989873,1,3,3,3,3,3,1
989873,2,3,2,3,4,2,1
989873,3,NA,NA,NA,NA,NA,NA
989873,4,3,2,3,3,3,NA
989873,5,NA,NA,NA,NA,NA,NA
989873,6,3,2,3,3,3,3
989873,7,3,2,3,2,3,3
989873,8,3,1,NA,NA,NA,NA
989873,9,NA,NA,NA,NA,NA,NA
989873,10,NA,NA,NA,NA,NA,NA
989873,11,NA,NA,NA,NA,NA,NA
989873,12,NA,NA,NA,NA,NA,NA
989873,13,NA,NA,NA,NA,NA,NA
989873,26,NA,NA,NA,NA,NA,NA
989873,27,NA,NA,NA,NA,NA,NA
989873,28,NA,NA,NA,NA,NA,NA
989873,29,NA,NA,NA,NA,NA,NA
989873,30,NA,NA,NA,NA,NA,NA
989873,31,NA,NA,NA,NA,NA,NA
989873,32,NA,NA,NA,NA,NA,NA
989873,33,NA,NA,NA,NA,NA,NA
989873,34,NA,NA,NA,NA,NA,NA
989873,35,NA,NA,NA,NA,NA,NA
989873,36,NA,NA,NA,NA,NA,NA
989873,37,NA,NA,NA,NA,NA,NA
989873,38,NA,NA,NA,NA,NA,NA
989873,39,NA,NA,NA,NA,NA,NA
989873,40,NA,NA,NA,NA,NA,NA
989873,41,NA,NA,NA,NA,NA,NA
989873,42,NA,NA,NA,NA,NA,NA
989873,43,NA,NA,NA,NA,NA,NA
989873,44,NA,NA,NA,NA,NA,NA
989873,45,NA,NA,NA,NA,NA,NA
989873,46,NA,NA,NA,NA,NA,NA
989873,47,NA,NA,NA,NA,NA,NA
989873,48,NA,NA,NA,NA,NA,NA
989873,49,NA,NA,NA,NA,NA,NA
989873,50,NA,NA,NA,NA,NA,NA
989873,51,NA,NA,NA,NA,NA,NA
989873,52,NA,NA,NA,NA,NA,NA
989873,53,NA,NA,NA,NA,NA,NA
989873,54,NA,NA,NA,NA,NA,NA
989873,55,NA,NA,NA,NA,NA,NA
989873,56,NA,NA,NA,NA,NA,NA
989873,57,NA,NA,NA,NA,NA,NA
989873,58,NA,NA,NA,NA,NA,NA
989873,59,NA,NA,NA,NA,NA,NA
989873,60,NA,NA,NA,NA,NA,NA
989873,61,NA,NA,NA,NA,NA,NA
989873,62,NA,NA,NA,NA,NA,NA
989873,64,NA,NA,NA,NA,NA,NA
989873,66,NA,NA,NA,NA,NA,NA
989873,68,NA,NA,NA,NA,NA,NA
989873,69,NA,NA,NA,NA,NA,NA
989874,1,4,2,3,3,2,2
989874,2,3,2,3,3,4,3
989874,3,NA,NA,NA,NA,NA,NA
989874,4,4,2,3,4,3,3
989874,5,NA,NA,NA,NA,NA,NA
989874,6,4,2,3,3,3,3
989874,7,4,2,3,3,3,3
989874,8,4,2,NA,NA,NA,NA
989874,9,NA,NA,NA,NA,NA,NA
989874,10,4,2,3,4,3,3
989874,11,NA,NA,NA,NA,NA,NA
989874,12,3,2,3,3,4,2
989874,13,3,2,3,3,4,3
989874,26,4,3,3,4,4,2
989874,27,4,2,3,4,3,3
989874,28,NA,NA,NA,NA,NA,NA
989874,29,3,2,3,3,4,2
989874,30,NA,NA,NA,NA,NA,NA
989874,31,3,2,3,3,4,2
989874,32,NA,NA,NA,NA,NA,NA
989874,33,4,3,3,4,3,2
989874,34,NA,NA,NA,NA,NA,NA
989874,35,NA,NA,NA,NA,NA,NA
989874,36,NA,NA,NA,NA,NA,NA
989874,37,NA,NA,NA,NA,NA,NA
989874,38,NA,NA,NA,NA,NA,NA
989874,39,NA,NA,NA,NA,NA,NA
989874,40,NA,NA,NA,NA,NA,NA
989874,41,NA,NA,NA,NA,NA,NA
989874,42,NA,NA,NA,NA,NA,NA
989874,43,NA,NA,NA,NA,NA,NA
989874,44,NA,NA,NA,NA,NA,NA
989874,45,NA,NA,NA,NA,NA,NA
989874,46,NA,NA,NA,NA,NA,NA
989874,47,NA,NA,NA,NA,NA,NA
989874,48,NA,NA,NA,NA,NA,NA
989874,49,NA,NA,NA,NA,NA,NA
989874,50,3,3,3,4,3,3
989874,51,3,3,3,4,2,3
989874,52,NA,NA,NA,NA,NA,NA
989874,53,NA,NA,NA,NA,NA,NA
989874,54,NA,NA,NA,NA,NA,NA
989874,55,NA,NA,NA,NA,NA,NA
989874,56,NA,NA,NA,NA,NA,NA
989874,57,3,2,4,3,4,3
989874,58,NA,NA,4,4,NA,NA
989874,59,3,3,4,3,3,3
989874,60,3,3,4,3,4,4
989874,61,NA,NA,NA,NA,NA,NA
989874,62,NA,NA,NA,NA,NA,NA
989874,64,NA,NA,NA,NA,NA,NA
