congress,chamber,rollnumber,icpsr,cast_code,prob
88,Senate,1,52,1,36.0
88,Senate,1,142,6,21.0
88,Senate,1,165,6,32.9
88,Senate,1,486,1,42.8
88,Senate,1,546,6,55.2
88,Senate,1,645,1,94.4
88,Senate,1,688,1,92.8
88,Senate,1,823,6,63.2
88,Senate,1,1018,6,81.0
88,Senate,1,1252,6,41.6
88,Senate,1,1365,1,100.0
88,Senate,1,1366,1,92.4
88,Senate,1,1482,1,90.3
88,Senate,1,1510,1,87.1
88,Senate,1,1569,6,99.8
88,Senate,1,1721,6,57.9
88,Senate,1,1776,6,99.8
88,Senate,1,2052,6,58.9
88,Senate,1,2087,1,93.2
88,Senate,1,2267,1,99.5
88,Senate,1,2609,1,75.2
88,Senate,1,2636,6,69.0
88,Senate,1,2691,6,100.0
88,Senate,1,2822,1,100.0
88,Senate,1,2901,1,99.9
88,Senate,1,2965,6,52.4
88,Senate,1,2987,1,100.0
88,Senate,1,3255,6,53.0
88,Senate,1,3388,1,93.7
88,Senate,1,3658,1,97.6
88,Senate,1,3704,2,79.7
88,Senate,1,3864,1,38.7
88,Senate,1,4148,6,99.6
88,Senate,1,4154,6,72.5
88,Senate,1,4227,1,76.9
88,Senate,1,4382,1,92.3
88,Senate,1,4418,1,97.6
88,Senate,1,4520,1,99.7
88,Senate,1,4660,1,99.0
88,Senate,1,4728,6,94.2
88,Senate,1,4812,1,24.2
88,Senate,1,4851,6,71.7
88,Senate,1,4898,6,99.9
88,Senate,1,5009,1,99.7
88,Senate,1,5073,2,99.9
88,Senate,1,5116,6,94.8
88,Senate,1,5122,1,41.3
88,Senate,1,5372,6,76.8
88,Senate,1,5500,6,17.9
88,Senate,1,5756,6,73.4
88,Senate,1,5767,1,99.3
88,Senate,1,5913,6,63.1
88,Senate,1,5967,1,46.4
88,Senate,1,6134,6,90.5
88,Senate,1,6151,1,100.0
88,Senate,1,6249,1,49.8
88,Senate,1,6256,6,89.2
88,Senate,1,6366,6,98.4
88,Senate,1,6442,5,67.0
88,Senate,1,6597,1,72.1
88,Senate,1,6738,5,86.2
88,Senate,1,6745,1,68.1
88,Senate,1,6754,6,73.8
88,Senate,1,6796,1,97.8
88,Senate,1,6831,6,91.4
88,Senate,1,6881,6,97.2
88,Senate,1,7229,1,13.8
88,Senate,1,7637,1,41.9
88,Senate,1,7638,6,41.4
88,Senate,1,7722,6,30.4
88,Senate,1,7847,6,97.6
88,Senate,1,7958,1,100.0
88,Senate,1,8138,1,100.0
88,Senate,1,8185,1,46.4
88,Senate,1,8301,6,84.6
88,Senate,1,8593,1,98.9
88,Senate,1,8666,6,48.5
88,Senate,1,8764,1,98.5
88,Senate,1,8883,1,100.0
88,Senate,1,9141,6,52.2
88,Senate,1,9174,1,99.9
88,Senate,1,10147,6,98.9
88,Senate,1,10163,1,94.5
88,Senate,1,10414,1,60.2
88,Senate,1,10450,1,98.8
88,Senate,1,10454,6,92.6
88,Senate,1,10514,1,85.7
88,Senate,1,10800,6,88.1
88,Senate,1,10803,1,71.4
88,Senate,1,10807,1,90.3
88,Senate,1,10808,6,99.8
88,Senate,1,10810,6,68.3
88,Senate,1,10811,1,98.4
88,Senate,1,10812,1,83.1
88,Senate,1,10816,6,90.2
88,Senate,1,10817,3,46.4
88,Senate,1,10818,1,2.0
88,Senate,1,10820,1,92.6
88,Senate,1,10823,1,99.0
88,Senate,1,99369,1,100.0
88,Senate,1,99902,9,0.1
88,Senate,2,52,6,97.2
88,Senate,2,142,6,91.7
88,Senate,2,165,6,98.3
88,Senate,2,486,4,95.5
88,Senate,2,546,6,95.2
88,Senate,2,645,6,86.1
88,Senate,2,688,6,97.6
88,Senate,2,823,6,94.2
88,Senate,2,1018,6,98.5
88,Senate,2,1252,6,97.4
88,Senate,2,1365,6,92.8
88,Senate,2,1366,6,96.7
88,Senate,2,1482,6,97.7
88,Senate,2,1510,6,94.1
88,Senate,2,1569,6,97.5
88,Senate,2,1721,6,97.5
88,Senate,2,1776,6,94.3
88,Senate,2,2052,6,97.1
88,Senate,2,2087,6,88.5
88,Senate,2,2267,6,83.5
88,Senate,2,2609,1,8.6
88,Senate,2,2636,6,98.5
88,Senate,2,2691,6,92.8
88,Senate,2,2822,6,93.2
88,Senate,2,2901,6,94.6
88,Senate,2,2965,6,98.4
88,Senate,2,2987,6,94.1
88,Senate,2,3255,6,95.5
88,Senate,2,3388,6,95.0
88,Senate,2,3658,6,76.0
88,Senate,2,3704,1,2.7
88,Senate,2,3864,6,85.3
88,Senate,2,4148,4,97.0
88,Senate,2,4154,6,97.3
88,Senate,2,4227,6,98.1
88,Senate,2,4382,6,89.4
88,Senate,2,4418,6,96.2
88,Senate,2,4520,6,96.0
88,Senate,2,4660,6,85.9
88,Senate,2,4728,6,97.9
88,Senate,2,4812,6,98.3
88,Senate,2,4851,6,98.3
88,Senate,2,4898,6,97.6
88,Senate,2,5009,6,95.2
88,Senate,2,5073,4,94.8
88,Senate,2,5116,6,94.9
88,Senate,2,5122,6,96.9
88,Senate,2,5372,6,96.5
88,Senate,2,5500,6,94.6
88,Senate,2,5756,6,98.3
88,Senate,2,5767,6,96.0
88,Senate,2,5913,6,98.1
88,Senate,2,5967,6,96.7
88,Senate,2,6134,6,97.5
88,Senate,2,6151,6,93.6
88,Senate,2,6249,6,98.3
88,Senate,2,6256,6,94.1
88,Senate,2,6366,6,94.7
88,Senate,2,6442,6,96.1
88,Senate,2,6597,6,98.0
88,Senate,2,6738,6,67.4
88,Senate,2,6745,6,94.9
88,Senate,2,6754,6,97.7
88,Senate,2,6796,6,92.6
88,Senate,2,6831,6,98.0
88,Senate,2,6881,6,89.6
88,Senate,2,7229,6,98.5
88,Senate,2,7637,6,95.3
88,Senate,2,7638,6,90.4
88,Senate,2,7722,6,98.1
88,Senate,2,7847,6,98.4
88,Senate,2,7958,6,94.1
88,Senate,2,8138,6,93.5
88,Senate,2,8185,1,4.7
88,Senate,2,8301,6,94.9
88,Senate,2,8593,1,3.3
88,Senate,2,8666,6,96.7
88,Senate,2,8764,6,96.5
88,Senate,2,8883,6,94.3
88,Senate,2,9141,6,98.0
88,Senate,2,9174,6,94.7
88,Senate,2,10147,6,98.3
88,Senate,2,10163,6,78.0
88,Senate,2,10414,6,96.7
88,Senate,2,10450,1,5.2
88,Senate,2,10454,6,98.2
88,Senate,2,10514,6,89.5
88,Senate,2,10800,6,97.7
88,Senate,2,10803,6,98.2
88,Senate,2,10807,6,89.4
88,Senate,2,10808,6,97.3
88,Senate,2,10810,6,98.4
88,Senate,2,10811,6,79.0
88,Senate,2,10812,6,91.1
88,Senate,2,10816,6,94.4
88,Senate,2,10817,6,96.1
88,Senate,2,10818,6,98.3
88,Senate,2,10820,6,69.1
88,Senate,2,10823,6,86.0
88,Senate,2,99369,6,86.5
88,Senate,2,99902,9,96.9
88,Senate,3,52,1,95.3
88,Senate,3,142,1,59.2
88,Senate,3,165,1,56.8
88,Senate,3,486,4,30.5
88,Senate,3,546,1,92.8
88,Senate,3,645,6,81.5
88,Senate,3,688,6,90.0
88,Senate,3,823,1,96.0
88,Senate,3,1018,1,97.0
88,Senate,3,1252,1,57.2
88,Senate,3,1365,6,100.0
88,Senate,3,1366,6,92.4
88,Senate,3,1482,6,85.7
88,Senate,3,1510,6,59.3
88,Senate,3,1569,1,100.0
88,Senate,3,1721,1,76.4
88,Senate,3,1776,1,100.0
88,Senate,3,2052,1,93.4
88,Senate,3,2087,6,77.0
88,Senate,3,2267,6,99.1
88,Senate,3,2609,6,34.3
88,Senate,3,2636,1,92.4
88,Senate,3,2691,1,100.0
88,Senate,3,2822,6,100.0
88,Senate,3,2901,6,100.0
88,Senate,3,2965,2,79.7
88,Senate,3,2987,6,100.0
88,Senate,3,3255,1,91.7
88,Senate,3,3388,6,95.6
88,Senate,3,3658,6,95.0
88,Senate,3,3704,6,72.8
88,Senate,3,3864,6,34.5
88,Senate,3,4148,1,100.0
88,Senate,3,4154,1,88.4
88,Senate,3,4227,6,60.9
88,Senate,3,4382,6,73.9
88,Senate,3,4418,6,98.5
88,Senate,3,4520,6,99.8
88,Senate,3,4660,6,97.7
88,Senate,3,4728,1,99.5
88,Senate,3,4812,6,6.5
88,Senate,3,4851,1,91.8
88,Senate,3,4898,1,100.0
88,Senate,3,5009,6,99.9
88,Senate,3,5073,5,100.0
88,Senate,3,5116,1,100.0
88,Senate,3,5122,1,74.8
88,Senate,3,5372,1,98.7
88,Senate,3,5500,1,51.9
88,Senate,3,5756,1,92.4
88,Senate,3,5767,6,99.7
88,Senate,3,5913,1,84.4
88,Senate,3,5967,1,68.3
88,Senate,3,6134,1,98.3
88,Senate,3,6151,6,100.0
88,Senate,3,6249,6,23.6
88,Senate,3,6256,1,96.4
88,Senate,3,6366,1,99.9
88,Senate,3,6442,2,80.9
88,Senate,3,6597,6,55.7
88,Senate,3,6738,1,90.2
88,Senate,3,6745,1,74.6
88,Senate,3,6754,1,90.1
88,Senate,3,6796,6,93.3
88,Senate,3,6831,1,98.9
88,Senate,3,6881,1,99.5
88,Senate,3,7229,1,98.5
88,Senate,3,7637,1,94.1
