congress,chamber,rollnumber,icpsr,cast_code,prob
89,Senate,1,52,6,95.2
89,Senate,1,142,4,58.9
89,Senate,1,165,6,99.6
89,Senate,1,486,6,100.0
89,Senate,1,504,6,99.9
89,Senate,1,645,1,74.1
89,Senate,1,688,6,99.0
89,Senate,1,823,6,83.5
89,Senate,1,1018,6,99.9
89,Senate,1,1252,6,99.9
89,Senate,1,1365,9,31.1
89,Senate,1,1366,6,99.5
89,Senate,1,1482,6,99.2
89,Senate,1,1510,4,66.9
89,Senate,1,1569,6,99.3
89,Senate,1,1721,6,100.0
89,Senate,1,1776,6,100.0
89,Senate,1,2052,1,5.5
89,Senate,1,2087,6,34.2
89,Senate,1,2267,1,91.5
89,Senate,1,2609,1,40.7
89,Senate,1,2636,6,99.8
89,Senate,1,2691,6,100.0
89,Senate,1,2822,9,49.7
89,Senate,1,2901,6,79.7
89,Senate,1,2987,6,68.4
89,Senate,1,3255,6,86.7
89,Senate,1,3388,6,99.6
89,Senate,1,3704,6,99.8
89,Senate,1,3864,4,100.0
89,Senate,1,4148,6,100.0
89,Senate,1,4154,6,100.0
89,Senate,1,4227,9,99.6
89,Senate,1,4382,1,61.4
89,Senate,1,4418,6,98.6
89,Senate,1,4520,6,78.4
89,Senate,1,4660,2,85.5
89,Senate,1,4812,6,100.0
89,Senate,1,4851,4,99.9
89,Senate,1,4898,6,99.4
89,Senate,1,5009,9,91.6
89,Senate,1,5073,6,81.0
89,Senate,1,5372,6,94.0
89,Senate,1,5500,6,72.6
89,Senate,1,5756,6,100.0
89,Senate,1,5767,6,95.1
89,Senate,1,5913,4,100.0
89,Senate,1,5967,9,100.0
89,Senate,1,6134,6,100.0
89,Senate,1,6151,1,45.7
89,Senate,1,6249,6,99.8
89,Senate,1,6256,4,100.0
89,Senate,1,6366,6,100.0
89,Senate,1,6442,9,100.0
89,Senate,1,6597,4,99.8
89,Senate,1,6611,6,99.8
89,Senate,1,6738,6,100.0
89,Senate,1,6745,1,21.0
89,Senate,1,6754,4,100.0
89,Senate,1,6796,1,55.7
89,Senate,1,6831,6,100.0
89,Senate,1,6881,6,100.0
89,Senate,1,7229,6,99.9
89,Senate,1,7637,9,86.9
89,Senate,1,7638,6,100.0
89,Senate,1,7722,6,99.8
89,Senate,1,7847,4,100.0
89,Senate,1,7958,1,49.9
89,Senate,1,8138,6,55.3
89,Senate,1,8185,6,85.8
89,Senate,1,8301,6,90.3
89,Senate,1,8593,4,95.3
89,Senate,1,8666,6,91.9
89,Senate,1,8764,6,97.4
89,Senate,1,8883,6,72.3
89,Senate,1,9141,6,99.9
89,Senate,1,9174,1,19.9
89,Senate,1,9369,3,89.4
89,Senate,1,10147,6,100.0
89,Senate,1,10163,6,13.4
89,Senate,1,10414,4,100.0
89,Senate,1,10450,6,59.6
89,Senate,1,10454,6,100.0
89,Senate,1,10514,1,54.7
89,Senate,1,10800,6,100.0
89,Senate,1,10804,1,93.5
89,Senate,1,10805,6,100.0
89,Senate,1,10807,5,40.7
89,Senate,1,10808,6,100.0
89,Senate,1,10809,6,100.0
89,Senate,1,10810,4,99.9
89,Senate,1,10812,6,53.7
89,Senate,1,10813,6,100.0
89,Senate,1,10814,1,58.2
89,Senate,1,10816,6,100.0
89,Senate,1,10817,4,89.6
89,Senate,1,10818,6,100.0
89,Senate,1,10820,1,90.8
89,Senate,1,10823,1,85.0
89,Senate,1,10824,6,100.0
89,Senate,1,99903,9,100.0
89,Senate,2,52,1,37.6
89,Senate,2,142,2,79.6
89,Senate,2,165,6,92.4
89,Senate,2,486,6,99.9
89,Senate,2,504,6,98.8
89,Senate,2,645,1,92.2
89,Senate,2,688,6,86.2
89,Senate,2,823,6,42.4
89,Senate,2,1018,6,97.5
89,Senate,2,1252,6,99.1
89,Senate,2,1365,1,95.6
89,Senate,2,1366,6,94.9
89,Senate,2,1482,6,88.7
89,Senate,2,1510,2,77.7
89,Senate,2,1569,6,90.7
89,Senate,2,1721,6,99.4
89,Senate,2,1776,6,100.0
89,Senate,2,2052,1,40.2
89,Senate,2,2087,1,90.2
89,Senate,2,2267,1,97.8
89,Senate,2,2609,1,78.7
89,Senate,2,2636,6,95.7
89,Senate,2,2691,6,99.8
89,Senate,2,2822,9,10.3
89,Senate,2,2901,6,34.2
89,Senate,2,2987,1,78.2
89,Senate,2,3255,6,44.5
89,Senate,2,3388,6,96.9
89,Senate,2,3704,6,97.5
89,Senate,2,3864,4,100.0
89,Senate,2,4148,6,99.9
89,Senate,2,4154,6,99.7
89,Senate,2,4227,6,92.7
89,Senate,2,4382,1,88.9
89,Senate,2,4418,6,87.6
89,Senate,2,4520,1,71.7
89,Senate,2,4660,1,96.5
89,Senate,2,4812,6,98.9
89,Senate,2,4851,6,98.4
89,Senate,2,4898,1,8.3
89,Senate,2,5009,9,58.3
89,Senate,2,5073,1,64.0
89,Senate,2,5372,1,39.6
89,Senate,2,5500,1,73.4
89,Senate,2,5756,6,98.7
89,Senate,2,5767,6,68.4
89,Senate,2,5913,4,98.8
89,Senate,2,5967,6,99.7
89,Senate,2,6134,6,99.8
89,Senate,2,6151,1,87.7
89,Senate,2,6249,6,96.0
89,Senate,2,6256,4,100.0
89,Senate,2,6366,6,100.0
89,Senate,2,6442,9,99.9
89,Senate,2,6597,4,95.8
89,Senate,2,6611,6,96.6
89,Senate,2,6738,6,100.0
89,Senate,2,6745,1,66.4
89,Senate,2,6754,4,99.6
89,Senate,2,6796,1,89.8
89,Senate,2,6831,6,99.6
89,Senate,2,6881,6,100.0
89,Senate,2,7229,6,97.8
89,Senate,2,7637,2,54.6
89,Senate,2,7638,6,99.9
89,Senate,2,7722,6,95.1
89,Senate,2,7847,5,99.1
89,Senate,2,7958,1,90.2
89,Senate,2,8138,1,87.0
89,Senate,2,8185,1,56.5
89,Senate,2,8301,6,55.0
89,Senate,2,8593,4,66.1
89,Senate,2,8666,6,52.4
89,Senate,2,8764,6,78.0
89,Senate,2,8883,1,74.7
89,Senate,2,9141,6,98.5
89,Senate,2,9174,1,65.2
89,Senate,2,9369,2,98.2
89,Senate,2,10147,6,99.4
89,Senate,2,10163,5,6.3
89,Senate,2,10414,6,99.5
89,Senate,2,10450,1,85.2
89,Senate,2,10454,6,99.4
89,Senate,2,10514,1,85.4
89,Senate,2,10800,6,99.7
89,Senate,2,10804,1,98.2
89,Senate,2,10805,6,99.7
89,Senate,2,10807,5,12.2
89,Senate,2,10808,6,99.8
89,Senate,2,10809,6,99.9
89,Senate,2,10810,6,98.0
89,Senate,2,10812,6,17.7
89,Senate,2,10813,6,99.8
89,Senate,2,10814,1,88.6
89,Senate,2,10816,6,100.0
89,Senate,2,10817,5,48.8
89,Senate,2,10818,6,99.3
89,Senate,2,10820,1,92.4
89,Senate,2,10823,1,96.4
89,Senate,2,10824,6,99.5
89,Senate,2,99903,9,99.3
89,Senate,3,52,1,
89,Senate,3,142,3,
89,Senate,3,165,1,
89,Senate,3,486,1,
89,Senate,3,504,1,
89,Senate,3,645,3,
89,Senate,3,688,1,
89,Senate,3,823,1,
89,Senate,3,1018,1,
89,Senate,3,1252,1,
89,Senate,3,1365,1,
89,Senate,3,1366,1,
89,Senate,3,1482,1,
89,Senate,3,1510,3,
89,Senate,3,1569,1,
89,Senate,3,1721,1,
89,Senate,3,1776,3,
89,Senate,3,2052,1,
89,Senate,3,2087,1,
89,Senate,3,2267,3,
89,Senate,3,2609,1,
89,Senate,3,2636,1,
89,Senate,3,2691,1,
89,Senate,3,2822,9,
89,Senate,3,2901,1,
89,Senate,3,2987,1,
89,Senate,3,3255,1,
89,Senate,3,3388,1,
89,Senate,3,3704,1,
89,Senate,3,3864,3,
89,Senate,3,4148,1,
89,Senate,3,4154,1,
89,Senate,3,4227,9,
89,Senate,3,4382,1,
89,Senate,3,4418,1,
89,Senate,3,4520,1,
89,Senate,3,4660,1,
89,Senate,3,4812,1,
89,Senate,3,4851,1,
89,Senate,3,4898,1,
89,Senate,3,5009,9,
89,Senate,3,5073,1,
89,Senate,3,5372,1,
89,Senate,3,5500,1,
89,Senate,3,5756,1,
89,Senate,3,5767,1,
89,Senate,3,5913,3,
89,Senate,3,5967,1,
89,Senate,3,6134,9,
89,Senate,3,6151,1,
89,Senate,3,6249,1,
89,Senate,3,6256,3,
89,Senate,3,6366,1,
89,Senate,3,6442,9,
89,Senate,3,6597,3,
89,Senate,3,6611,1,
89,Senate,3,6738,1,
89,Senate,3,6745,1,
89,Senate,3,6754,3,
89,Senate,3,6796,1,
89,Senate,3,6831,1,
89,Senate,3,6881,1,
89,Senate,3,7229,1,
89,Senate,3,7637,3,
89,Senate,3,7638,3,
89,Senate,3,7722,1,
