congress,chamber,rollnumber,icpsr,cast_code,prob
101,Senate,1,660,1,
101,Senate,1,1252,1,
101,Senate,1,1366,1,
101,Senate,1,4812,1,
101,Senate,1,9369,1,
101,Senate,1,10513,1,
101,Senate,1,10605,1,
101,Senate,1,10700,1,
101,Senate,1,10791,1,
101,Senate,1,10808,1,
101,Senate,1,10818,1,
101,Senate,1,11029,1,
101,Senate,1,11043,1,
101,Senate,1,11044,1,
101,Senate,1,11203,1,
101,Senate,1,11204,1,
101,Senate,1,12103,1,
101,Senate,1,12107,1,
101,Senate,1,12109,1,
101,Senate,1,13039,1,
101,Senate,1,13050,1,
101,Senate,1,13056,1,
101,Senate,1,14002,1,
101,Senate,1,14009,1,
101,Senate,1,14010,1,
101,Senate,1,14031,1,
101,Senate,1,14056,1,
101,Senate,1,14073,1,
101,Senate,1,14101,1,
101,Senate,1,14103,1,
101,Senate,1,14105,1,
101,Senate,1,14107,1,
101,Senate,1,14108,1,
101,Senate,1,14203,1,
101,Senate,1,14213,1,
101,Senate,1,14226,1,
101,Senate,1,14230,1,
101,Senate,1,14240,1,
101,Senate,1,14242,1,
101,Senate,1,14268,1,
101,Senate,1,14275,1,
101,Senate,1,14282,1,
101,Senate,1,14300,1,
101,Senate,1,14302,1,
101,Senate,1,14303,1,
101,Senate,1,14304,1,
101,Senate,1,14307,1,
101,Senate,1,14423,1,
101,Senate,1,14440,1,
101,Senate,1,14467,1,
101,Senate,1,14500,1,
101,Senate,1,14501,1,
101,Senate,1,14502,1,
101,Senate,1,14503,1,
101,Senate,1,14506,1,
101,Senate,1,14508,1,
101,Senate,1,14509,1,
101,Senate,1,14511,1,
101,Senate,1,14617,1,
101,Senate,1,14628,1,
101,Senate,1,14659,1,
101,Senate,1,14700,1,
101,Senate,1,14701,1,
101,Senate,1,14702,1,
101,Senate,1,14703,1,
101,Senate,1,14704,1,
101,Senate,1,14705,1,
101,Senate,1,14706,1,
101,Senate,1,14708,1,
101,Senate,1,14709,1,
101,Senate,1,14710,1,
101,Senate,1,14712,1,
101,Senate,1,14713,1,
101,Senate,1,14806,1,
101,Senate,1,14900,1,
101,Senate,1,14902,1,
101,Senate,1,14904,1,
101,Senate,1,14907,1,
101,Senate,1,14908,9,
101,Senate,1,14909,1,
101,Senate,1,14910,1,
101,Senate,1,14912,1,
101,Senate,1,14914,1,
101,Senate,1,14915,1,
101,Senate,1,14920,1,
101,Senate,1,14921,1,
101,Senate,1,14922,1,
101,Senate,1,15037,1,
101,Senate,1,15039,1,
101,Senate,1,15054,1,
101,Senate,1,15501,1,
101,Senate,1,15502,1,
