congress,chamber,rollnumber,icpsr,cast_code,prob
85,Senate,1,52,1,91.5
85,Senate,1,142,1,99.8
85,Senate,1,165,6,98.8
85,Senate,1,464,1,98.2
85,Senate,1,546,1,99.2
85,Senate,1,645,1,100.0
85,Senate,1,688,6,99.8
85,Senate,1,1024,1,100.0
85,Senate,1,1027,1,100.0
85,Senate,1,1329,1,100.0
85,Senate,1,1341,1,99.7
85,Senate,1,1365,6,65.6
85,Senate,1,1489,1,99.7
85,Senate,1,1510,1,97.9
85,Senate,1,1540,6,99.9
85,Senate,1,1569,1,92.7
85,Senate,1,1570,1,91.1
85,Senate,1,1678,6,99.7
85,Senate,1,1721,6,100.0
85,Senate,1,1776,6,99.6
85,Senate,1,2052,1,91.3
85,Senate,1,2087,1,99.9
85,Senate,1,2267,1,99.7
85,Senate,1,2326,6,97.6
85,Senate,1,2609,1,99.9
85,Senate,1,2691,6,93.8
85,Senate,1,2803,1,98.6
85,Senate,1,2822,6,99.1
85,Senate,1,2901,6,99.9
85,Senate,1,2987,6,99.7
85,Senate,1,3206,1,99.8
85,Senate,1,3349,6,90.1
85,Senate,1,3388,6,100.0
85,Senate,1,3658,1,100.0
85,Senate,1,3704,6,100.0
85,Senate,1,3783,6,99.3
85,Senate,1,4227,6,99.6
85,Senate,1,4328,6,99.4
85,Senate,1,4382,1,99.8
85,Senate,1,4418,6,100.0
85,Senate,1,4520,6,95.9
85,Senate,1,4660,1,99.6
85,Senate,1,4728,6,99.5
85,Senate,1,4834,1,99.3
85,Senate,1,4851,6,99.3
85,Senate,1,4922,1,99.8
85,Senate,1,4979,6,99.9
85,Senate,1,5009,6,100.0
85,Senate,1,5122,6,100.0
85,Senate,1,5180,6,96.0
85,Senate,1,5213,6,100.0
85,Senate,1,5343,1,99.4
85,Senate,1,5372,1,98.0
85,Senate,1,5452,1,10.3
85,Senate,1,5500,6,2.2
85,Senate,1,5767,6,100.0
85,Senate,1,5913,6,99.8
85,Senate,1,5944,1,78.5
85,Senate,1,5967,6,100.0
85,Senate,1,6021,1,100.0
85,Senate,1,6039,1,98.8
85,Senate,1,6137,1,95.6
85,Senate,1,6151,6,99.1
85,Senate,1,6366,6,99.9
85,Senate,1,6597,6,99.8
85,Senate,1,6738,6,100.0
85,Senate,1,6745,1,98.7
85,Senate,1,6796,1,95.6
85,Senate,1,6820,6,100.0
85,Senate,1,6856,6,99.9
85,Senate,1,6882,6,99.0
85,Senate,1,7070,6,99.5
85,Senate,1,7229,6,95.4
85,Senate,1,7271,1,96.4
85,Senate,1,7551,1,99.6
85,Senate,1,7656,1,99.9
85,Senate,1,7826,1,93.4
85,Senate,1,7958,6,94.4
85,Senate,1,8138,6,99.4
85,Senate,1,8185,1,99.2
85,Senate,1,8270,1,98.6
85,Senate,1,8313,6,100.0
85,Senate,1,8593,6,99.8
85,Senate,1,8635,1,99.9
85,Senate,1,8666,1,93.3
85,Senate,1,8764,6,100.0
85,Senate,1,8883,6,99.8
85,Senate,1,9141,6,99.9
85,Senate,1,9174,6,99.9
85,Senate,1,9374,1,94.1
85,Senate,1,9865,1,99.3
85,Senate,1,10110,1,97.9
85,Senate,1,10163,1,100.0
85,Senate,1,10450,1,68.0
85,Senate,1,99369,6,74.1
85,Senate,1,99901,9,100.0
85,Senate,2,52,6,91.3
85,Senate,2,142,6,41.7
85,Senate,2,165,6,60.8
85,Senate,2,464,1,97.6
85,Senate,2,546,6,85.4
85,Senate,2,645,1,91.5
85,Senate,2,688,1,84.5
85,Senate,2,1024,1,97.8
85,Senate,2,1027,1,67.6
85,Senate,2,1329,6,96.2
85,Senate,2,1341,1,93.1
85,Senate,2,1365,1,100.0
85,Senate,2,1489,1,92.6
85,Senate,2,1510,1,72.1
85,Senate,2,1540,6,99.8
85,Senate,2,1569,6,100.0
85,Senate,2,1570,1,96.4
85,Senate,2,1678,6,33.2
85,Senate,2,1721,6,82.2
85,Senate,2,1776,6,100.0
85,Senate,2,2052,6,88.3
85,Senate,2,2087,1,88.3
85,Senate,2,2267,1,99.7
85,Senate,2,2326,1,100.0
85,Senate,2,2609,1,52.1
85,Senate,2,2691,6,100.0
85,Senate,2,2803,1,99.7
85,Senate,2,2822,1,100.0
85,Senate,2,2901,1,100.0
85,Senate,2,2987,1,100.0
85,Senate,2,3206,6,97.5
85,Senate,2,3349,1,99.2
85,Senate,2,3388,1,88.9
85,Senate,2,3658,1,98.4
85,Senate,2,3704,1,61.7
85,Senate,2,3783,1,2.0
85,Senate,2,4227,1,54.2
85,Senate,2,4328,6,98.5
85,Senate,2,4382,1,86.0
85,Senate,2,4418,1,95.7
85,Senate,2,4520,1,99.6
85,Senate,2,4660,1,99.2
85,Senate,2,4728,6,99.5
85,Senate,2,4834,6,100.0
85,Senate,2,4851,6,92.7
85,Senate,2,4922,1,99.8
85,Senate,2,4979,1,77.1
85,Senate,2,5009,1,99.7
85,Senate,2,5122,6,81.8
85,Senate,2,5180,6,99.7
85,Senate,2,5213,1,95.4
85,Senate,2,5343,1,37.2
85,Senate,2,5372,6,96.6
85,Senate,2,5452,1,98.4
85,Senate,2,5500,6,38.0
85,Senate,2,5767,1,99.1
85,Senate,2,5913,6,87.3
85,Senate,2,5944,1,100.0
85,Senate,2,5967,6,77.0
85,Senate,2,6021,1,76.7
85,Senate,2,6039,6,9.4
85,Senate,2,6137,1,97.6
85,Senate,2,6151,1,100.0
85,Senate,2,6366,6,99.9
85,Senate,2,6597,1,47.7
85,Senate,2,6738,6,93.5
85,Senate,2,6745,6,61.1
85,Senate,2,6796,1,96.4
85,Senate,2,6820,6,84.2
85,Senate,2,6856,4,76.5
85,Senate,2,6882,6,100.0
85,Senate,2,7070,6,64.3
85,Senate,2,7229,6,98.3
85,Senate,2,7271,6,92.9
85,Senate,2,7551,6,55.0
85,Senate,2,7656,6,97.9
85,Senate,2,7826,1,98.6
85,Senate,2,7958,1,100.0
85,Senate,2,8138,1,100.0
85,Senate,2,8185,1,15.7
85,Senate,2,8270,1,99.2
85,Senate,2,8313,1,86.3
85,Senate,2,8593,1,98.1
85,Senate,2,8635,6,99.1
85,Senate,2,8666,6,80.5
85,Senate,2,8764,1,97.4
85,Senate,2,8883,1,100.0
85,Senate,2,9141,6,78.9
85,Senate,2,9174,1,100.0
85,Senate,2,9374,6,69.6
85,Senate,2,9865,1,87.2
85,Senate,2,10110,4,68.7
85,Senate,2,10163,1,94.0
85,Senate,2,10450,1,98.1
85,Senate,2,99369,1,100.0
85,Senate,2,99901,9,6.5
85,Senate,3,52,1,75.0
85,Senate,3,142,6,4.8
85,Senate,3,165,7,100.0
85,Senate,3,464,6,45.4
85,Senate,3,546,1,95.4
85,Senate,3,645,1,94.0
85,Senate,3,688,6,100.0
85,Senate,3,777,6,100.0
85,Senate,3,1024,1,91.7
85,Senate,3,1027,3,97.4
85,Senate,3,1329,1,100.0
85,Senate,3,1341,7,81.3
85,Senate,3,1365,6,99.7
85,Senate,3,1489,7,82.5
85,Senate,3,1510,6,29.7
85,Senate,3,1540,6,100.0
85,Senate,3,1569,1,99.4
85,Senate,3,1570,6,72.4
85,Senate,3,1678,4,100.0
85,Senate,3,1721,6,100.0
85,Senate,3,1776,6,99.3
85,Senate,3,2052,1,72.0
85,Senate,3,2087,1,91.6
85,Senate,3,2267,6,31.1
85,Senate,3,2609,1,97.2
85,Senate,3,2691,6,70.3
85,Senate,3,2803,1,49.9
85,Senate,3,2822,6,100.0
85,Senate,3,2901,6,100.0
85,Senate,3,2987,6,100.0
85,Senate,3,3206,1,99.7
85,Senate,3,3349,7,100.0
85,Senate,3,3388,6,100.0
85,Senate,3,3658,1,94.9
85,Senate,3,3704,6,100.0
85,Senate,3,3783,6,99.9
85,Senate,3,4227,6,100.0
85,Senate,3,4328,6,99.9
85,Senate,3,4382,1,90.5
85,Senate,3,4418,6,100.0
85,Senate,3,4520,6,100.0
85,Senate,3,4660,7,71.4
85,Senate,3,4728,4,99.9
85,Senate,3,4834,3,99.9
85,Senate,3,4851,6,100.0
85,Senate,3,4898,1,99.2
85,Senate,3,4922,1,76.0
85,Senate,3,4979,6,100.0
85,Senate,3,5009,6,100.0
85,Senate,3,5122,6,100.0
85,Senate,3,5180,6,97.9
85,Senate,3,5213,6,100.0
85,Senate,3,5343,1,92.5
85,Senate,3,5372,1,95.1
85,Senate,3,5452,7,0.1
85,Senate,3,5500,1,73.3
85,Senate,3,5767,6,100.0
85,Senate,3,5913,4,100.0
85,Senate,3,5944,6,94.6
85,Senate,3,5967,6,100.0
85,Senate,3,6021,1,98.4
85,Senate,3,6039,1,69.3
85,Senate,3,6137,1,38.6
85,Senate,3,6151,6,100.0
85,Senate,3,6366,6,100.0
85,Senate,3,6597,6,100.0
85,Senate,3,6738,4,100.0
85,Senate,3,6745,1,86.5
85,Senate,3,6796,6,59.1
85,Senate,3,6820,6,100.0
85,Senate,3,6856,4,100.0
85,Senate,3,6882,6,98.0
85,Senate,3,7070,6,100.0
85,Senate,3,7229,6,98.8
85,Senate,3,7271,1,88.3
85,Senate,3,7551,1,92.6
85,Senate,3,7656,3,99.8
85,Senate,3,7826,1,29.0
85,Senate,3,7958,6,100.0
85,Senate,3,8138,6,100.0
85,Senate,3,8185,1,94.7
85,Senate,3,8270,6,47.4
85,Senate,3,8313,6,100.0
85,Senate,3,8593,4,100.0
85,Senate,3,8635,1,99.9
85,Senate,3,8666,1,71.8
85,Senate,3,8764,6,100.0
85,Senate,3,8883,6,100.0
85,Senate,3,9141,6,100.0
85,Senate,3,9174,6,100.0
85,Senate,3,9374,1,69.1
85,Senate,3,9865,1,77.5
85,Senate,3,10110,1,83.6
85,Senate,3,10163,1,98.1
85,Senate,3,10450,6,93.8
85,Senate,3,99369,6,99.9
85,Senate,3,99901,9,100.0
85,Senate,4,52,6,16.5
85,Senate,4,142,1,57.1
85,Senate,4,165,7,97.1
85,Senate,4,464,1,57.9
85,Senate,4,546,6,27.9
85,Senate,4,645,1,37.0
85,Senate,4,688,1,98.1
85,Senate,4,777,1,93.2
85,Senate,4,1024,6,74.2
85,Senate,4,1027,4,52.5
85,Senate,4,1329,6,44.4
85,Senate,4,1341,6,49.8
85,Senate,4,1365,6,14.5
85,Senate,4,1489,7,49.8
85,Senate,4,1510,1,70.3
85,Senate,4,1540,1,94.3
85,Senate,4,1569,6,18.3
85,Senate,4,1570,1,73.3
85,Senate,4,1678,3,97.8
85,Senate,4,1721,1,97.6
85,Senate,4,1776,1,91.5
85,Senate,4,2052,1,83.4
85,Senate,4,2087,6,55.0
85,Senate,4,2267,6,69.0
85,Senate,4,2609,1,55.3
85,Senate,4,2691,1,85.1
85,Senate,4,2803,1,46.6
85,Senate,4,2822,1,96.3
85,Senate,4,2901,1,98.0
85,Senate,4,2987,1,97.5
85,Senate,4,3206,7,68.5
85,Senate,4,3349,7,94.4
85,Senate,4,3388,1,98.6
85,Senate,4,3658,1,14.4
85,Senate,4,3704,1,98.3
85,Senate,4,3783,1,96.3
85,Senate,4,4227,1,97.7
85,Senate,4,4328,1,96.2
85,Senate,4,4382,1,48.7
85,Senate,4,4418,1,98.7
85,Senate,4,4520,1,95.7
85,Senate,4,4660,7,38.1
85,Senate,4,4728,3,95.7
85,Senate,4,4834,7,75.0
85,Senate,4,4851,1,96.8
85,Senate,4,4898,1,82.2
85,Senate,4,4922,6,79.9
85,Senate,4,4979,1,98.2
85,Senate,4,5009,1,98.5
85,Senate,4,5122,3,97.6
85,Senate,4,5180,1,94.8
85,Senate,4,5213,1,98.4
85,Senate,4,5343,1,67.9
85,Senate,4,5372,1,78.1
85,Senate,4,5452,7,94.5
85,Senate,4,5500,1,72.1
85,Senate,4,5767,1,98.5
85,Senate,4,5913,3,97.3
85,Senate,4,5944,1,66.9
85,Senate,4,5967,1,97.7
85,Senate,4,6021,6,62.5
85,Senate,4,6039,1,61.0
85,Senate,4,6137,1,66.0
85,Senate,4,6151,1,96.4
85,Senate,4,6366,1,93.8
85,Senate,4,6597,1,97.8
85,Senate,4,6738,1,89.7
85,Senate,4,6745,1,71.9
85,Senate,4,6796,1,67.4
85,Senate,4,6820,1,97.5
85,Senate,4,6856,7,97.7
85,Senate,4,6882,1,91.2
85,Senate,4,7070,1,97.4
85,Senate,4,7229,1,95.4
85,Senate,4,7271,6,20.0
85,Senate,4,7551,1,65.3
85,Senate,4,7656,7,66.8
85,Senate,4,7826,6,32.2
85,Senate,4,7958,6,6.0
85,Senate,4,8138,1,96.7
85,Senate,4,8185,1,72.4
85,Senate,4,8270,1,50.7
85,Senate,4,8313,1,98.4
85,Senate,4,8593,3,98.1
85,Senate,4,8635,6,31.4
85,Senate,4,8666,6,18.3
85,Senate,4,8764,1,98.5
85,Senate,4,8883,1,97.7
85,Senate,4,9141,1,97.5
85,Senate,4,9174,1,98.0
85,Senate,4,9374,1,80.3
85,Senate,4,9865,1,59.1
85,Senate,4,10110,1,75.2
85,Senate,4,10163,6,81.5
85,Senate,4,10450,1,83.2
85,Senate,4,99369,1,77.3
85,Senate,4,99901,1,56.2
85,Senate,5,52,1,
85,Senate,5,142,1,
85,Senate,5,165,1,
85,Senate,5,464,1,
85,Senate,5,546,1,
85,Senate,5,645,1,
85,Senate,5,688,1,
85,Senate,5,777,1,
85,Senate,5,1024,1,
85,Senate,5,1027,3,
85,Senate,5,1329,1,
85,Senate,5,1341,1,
85,Senate,5,1365,1,
85,Senate,5,1489,3,
85,Senate,5,1510,1,
85,Senate,5,1540,1,
85,Senate,5,1569,1,
85,Senate,5,1570,1,
85,Senate,5,1678,1,
85,Senate,5,1721,1,
85,Senate,5,1776,1,
85,Senate,5,2052,1,
85,Senate,5,2087,1,
85,Senate,5,2267,1,
85,Senate,5,2609,1,
85,Senate,5,2691,3,
85,Senate,5,2803,1,
85,Senate,5,2822,3,
85,Senate,5,2901,1,
85,Senate,5,2987,1,
85,Senate,5,3206,1,
85,Senate,5,3349,1,
85,Senate,5,3388,3,
85,Senate,5,3658,1,
85,Senate,5,3704,3,
85,Senate,5,3783,1,
85,Senate,5,4227,1,
85,Senate,5,4328,1,
85,Senate,5,4382,1,
85,Senate,5,4418,1,
85,Senate,5,4520,1,
85,Senate,5,4660,1,
85,Senate,5,4728,1,
85,Senate,5,4834,3,
85,Senate,5,4851,1,
85,Senate,5,4898,3,
85,Senate,5,4922,1,
85,Senate,5,4979,1,
85,Senate,5,5009,1,
85,Senate,5,5122,1,
85,Senate,5,5180,1,
85,Senate,5,5213,3,
85,Senate,5,5343,1,
85,Senate,5,5372,1,
85,Senate,5,5452,7,
85,Senate,5,5500,1,
85,Senate,5,5767,1,
85,Senate,5,5913,1,
85,Senate,5,5944,1,
85,Senate,5,5967,1,
85,Senate,5,6021,1,
85,Senate,5,6039,1,
85,Senate,5,6137,1,
85,Senate,5,6151,1,
85,Senate,5,6366,1,
85,Senate,5,6597,1,
85,Senate,5,6738,3,
85,Senate,5,6745,1,
85,Senate,5,6796,1,
85,Senate,5,6820,3,
85,Senate,5,6856,3,
85,Senate,5,6882,1,
85,Senate,5,7070,1,
85,Senate,5,7229,1,
85,Senate,5,7271,1,
85,Senate,5,7551,1,
85,Senate,5,7656,1,
85,Senate,5,7826,1,
85,Senate,5,7958,1,
85,Senate,5,8138,1,
85,Senate,5,8185,1,
85,Senate,5,8270,1,
85,Senate,5,8313,1,
85,Senate,5,8593,3,
85,Senate,5,8635,1,
85,Senate,5,8666,1,
85,Senate,5,8764,1,
85,Senate,5,8883,1,
85,Senate,5,9141,1,
85,Senate,5,9174,1,
85,Senate,5,9374,1,
85,Senate,5,9865,1,
85,Senate,5,10110,1,
85,Senate,5,10163,1,
85,Senate,5,10450,1,
85,Senate,5,99369,1,
85,Senate,5,99901,9,
85,Senate,6,52,6,99.8
85,Senate,6,142,6,99.6
85,Senate,6,165,1,24.5
85,Senate,6,464,6,72.6
85,Senate,6,546,6,100.0
85,Senate,6,645,6,95.6
85,Senate,6,688,1,59.3
85,Senate,6,777,6,0.6
85,Senate,6,1024,6,83.3
85,Senate,6,1027,5,99.6
85,Senate,6,1329,6,100.0
85,Senate,6,1341,6,90.9
85,Senate,6,1365,1,95.6
85,Senate,6,1489,6,91.6
85,Senate,6,1510,6,96.8
85,Senate,6,1540,6,89.6
85,Senate,6,1569,6,100.0
85,Senate,6,1570,6,69.4
85,Senate,6,1678,1,43.4
85,Senate,6,1721,6,71.5
85,Senate,6,1776,6,94.6
85,Senate,6,2052,6,99.7
85,Senate,6,2087,6,96.3
85,Senate,6,2267,1,57.4
85,Senate,6,2609,6,99.8
85,Senate,6,2691,6,98.9
85,Senate,6,2803,6,43.3
85,Senate,6,2822,1,99.2
85,Senate,6,2901,1,96.7
85,Senate,6,2987,1,98.1
85,Senate,6,3206,6,100.0
85,Senate,6,3349,1,77.5
85,Senate,6,3388,7,74.7
85,Senate,6,3658,1,22.3
85,Senate,6,3704,6,48.5
85,Senate,6,3783,5,91.6
85,Senate,6,4227,6,63.9
85,Senate,6,4328,6,91.9
85,Senate,6,4382,6,96.8
85,Senate,6,4418,6,19.8
85,Senate,6,4520,2,86.5
85,Senate,6,4660,1,38.5
85,Senate,6,4728,6,93.2
85,Senate,6,4834,5,100.0
85,Senate,6,4851,6,87.7
85,Senate,6,4898,6,100.0
85,Senate,6,4922,1,67.3
85,Senate,6,4979,6,44.3
85,Senate,6,5009,1,93.2
85,Senate,6,5122,6,67.6
85,Senate,6,5180,6,97.6
85,Senate,6,5213,2,76.8
85,Senate,6,5343,6,99.8
85,Senate,6,5372,6,100.0
85,Senate,6,5452,2,71.4
85,Senate,6,5500,6,98.1
85,Senate,6,5767,1,88.2
85,Senate,6,5913,1,19.4
85,Senate,6,5944,1,94.3
85,Senate,6,5967,1,36.5
85,Senate,6,6021,6,99.5
85,Senate,6,6039,6,90.5
85,Senate,6,6137,2,32.1
85,Senate,6,6151,1,98.8
85,Senate,6,6366,5,89.2
85,Senate,6,6597,6,63.4
85,Senate,6,6738,1,39.6
85,Senate,6,6745,6,99.6
85,Senate,6,6796,6,74.0
85,Senate,6,6820,1,30.7
85,Senate,6,6856,1,29.3
85,Senate,6,6882,6,96.7
85,Senate,6,7070,6,73.8
85,Senate,6,7229,6,96.1
85,Senate,6,7271,6,99.9
85,Senate,6,7551,6,99.7
85,Senate,6,7656,6,100.0
85,Senate,6,7826,6,57.8
85,Senate,6,7958,1,97.2
85,Senate,6,8138,1,98.9
85,Senate,6,8185,6,99.9
85,Senate,6,8270,6,56.0
85,Senate,6,8313,1,66.1
85,Senate,6,8593,1,81.9
85,Senate,6,8635,6,100.0
