-65.1651,
-64.462,
-63.7627,
-63.0672,
-62.3755,
-61.6876,
-61.0036,
-60.3233,
-59.6469,
-58.9743,
-58.3055,
-57.6405,
-56.9793,
-56.3219,
-55.6684,
-55.0187,
-54.3727,
-53.7306,
-53.0923,
-52.4579,
-51.8272,
-51.2004,
-50.5773,
-49.9581,
-49.3427,
-48.7311,
-48.1233,
-47.5194,
-46.9192,
-46.3229,
-45.7303,
-45.1416,
-44.5567,
-43.9757,
-43.3984,
-42.8249,
-42.2553,
-41.6895,
-41.1275,
-40.5693,
-40.0149,
-39.4643,
-38.9176,
-38.3746,
-37.8355,
-37.3002,
-36.7687,
-36.241,
-35.7171,
-35.1971,
-34.6808,
-34.1684,
-33.6598,
-33.155,
-32.654,
-32.1568,
-31.6634,
-31.1739,
-30.6882,
-30.2062,
-29.7281,
-29.2538,
-28.7834,
-28.3167,
-27.8539,
-27.3948,
-26.9396,
-26.4882,
-26.0406,
-25.5968,
-25.1569,
-24.7207,
-24.2884,
-23.8598,
-23.4351,
-23.0142,
-22.5972,
-22.1839,
-21.7744,
-21.3688,
-20.967,
-20.569,
-20.1748,
-19.7844,
-19.3978,
-19.0151,
-18.6361,
-18.261,
-17.8897,
-17.5222,
-17.1585,
-16.7986,
-16.4426,
-16.0903,
-15.7419,
-15.3973,
-15.0565,
-14.7195,
-14.3863,
-14.0569,
-13.7314,
-13.4097,
-13.0918,
-12.7776,
-12.4674,
-12.1609,
-11.8582,
-11.5594,
-11.2643,
-10.9731,
-10.6857,
-10.4021,
-10.1223,
-9.84638,
-9.57422,
-9.30589,
-9.04137,
-8.78066,
-8.52376,
-8.27068,
-8.02142,
-7.77596,
-7.53432,
-7.2965,
-7.06249,
-6.83229,
-6.60591,
-6.38334,
-6.16458,
-5.94964,
-5.73852,
-5.5312,
-5.3277,
-5.12802,
-4.93215,
-4.74009,
-4.55185,
-4.36742,
-4.1868,
-4.01,
-3.83702,
-3.66784,
-3.50248,
-3.34094,
-3.18321,
-3.02929,
-2.87918,
-2.73289,
-2.59042,
-2.45176,
-2.31691,
-2.18588,
-2.05866,
-1.93525,
-1.81566,
-1.69988,
-1.58792,
-1.47977,
-1.37543,
-1.27491,
-1.1782,
-1.08531,
-0.996227,
-0.910961,
-0.829509,
-0.751871,
-0.678046,
-0.608036,
-0.54184,
-0.479458,
-0.420889,
